ID,Категория,Сценарий,Альтернатива,Дата_создания,Критерий_Заработная плата,Критерий_Карьерный рост,Критерий_Work-life balance,Критерий_Стабильность,Критерий_Престиж,Критерий_Интерес к работе,Критерий_Возможности обучения,Критерий_Рабочая атмосфера,Тревожность,Временное_давление,Важность_решения,Доступность_информации,Опыт_в_области,Финансовые_ресурсы,Социальная_поддержка,Эмоциональное_состояние,Уверенность_в_себе,Склонность_к_риску,Общая_оценка,Индекс_тревожности,Время_на_решение_часы,Уровень_сложности,Влияние_на_будущее,Обратимость_решения,Количество_заинтересованных_сторон,Критерий_Доходность,Критерий_Риск потерь,Критерий_Ликвидность,Критерий_Минимальная сумма,Критерий_Сроки инвестирования,Критерий_Налоговые льготы,Критерий_Инфляционная защита,Критерий_Простота управления,Критерий_Эмоциональная совместимость,Критерий_Финансовая стабильность,Критерий_Общие ценности,Критерий_Семейные планы,Критерий_Взаимная поддержка,Критерий_Физическая привлекательность,Критерий_Социальный статус,Критерий_Готовность к компромиссам,Критерий_Эффективность,Критерий_Стоимость,Критерий_Безопасность,Критерий_Время на выполнение,Критерий_Доступность,Критерий_Побочные эффекты,Критерий_Научная обоснованность,Критерий_Долгосрочные результаты,Критерий_Цена,Критерий_Местоположение,Критерий_Площадь,Критерий_Состояние жилья,Критерий_Инфраструктура,Критерий_Транспортная доступность,Критерий_Экология,Критерий_Безопасность района,Критерий_Бюджет поездки,Критерий_Климат,Критерий_Культурные достопримечательности,Критерий_Языковой барьер,Критерий_Виза и документы,Критерий_Качество сервиса,Критерий_Отзывы туристов,Критерий_Цена товара,Критерий_Качество,Критерий_Бренд,Критерий_Функциональность,Критерий_Дизайн,Критерий_Гарантия,Критерий_Отзывы покупателей,Критерий_Экологичность,Критерий_Общие интересы,Критерий_Время на общение,Критерий_Эмоциональная поддержка,Критерий_Взаимная выгода,Критерий_Надежность людей,Критерий_Позитивное влияние,Критерий_Географическая близость,Критерий_Личный интерес,Критерий_Стоимость занятий,Критерий_Время на хобби,Критерий_Социальные возможности,Критерий_Развитие навыков,Критерий_Физическая нагрузка,Критерий_Творческое самовыражение,Критерий_Практическая польза,Критерий_Духовная значимость,Критерий_Временные затраты,Критерий_Стоимость обучения,Критерий_Социальное принятие,Критерий_Совместимость с убеждениями,Критерий_Долгосрочное развитие,Критерий_Удобство использования,Критерий_Безопасность данных,Критерий_Стоимость услуг,Критерий_Совместимость,Критерий_Скорость работы,Критерий_Техническая поддержка,Критерий_Обновления и развитие,Критерий_Уровень защиты,Критерий_Стоимость решения,Критерий_Надежность системы,Критерий_Простота использования,Критерий_Скорость реагирования,Критерий_Покрытие рисков,Критерий_Репутация провайдера,Критерий_Гибкость условий
293,Духовность и самопознание,Выбор религии или философии,Вариант_3,2025-01-22 06:42:47.830037,,,,,,,,,Высокая,Умеренное,Низкая,Недостаточная,Средний,Умеренные,Отсутствует,Нейтральное,Средняя,Нейтральная,4.0,10,123.8,8,4,Необратимо,7,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.9,9.9,2.1,2.0,2.2,7.9,,,,,,,,,,,,,,,
294,Духовность и самопознание,Медитативные практики,Вариант_1,2025-01-20 06:42:47.830084,,,,,,,,,Низкая,Умеренное,Критическая,Избыточная,Эксперт,Значительные,Отсутствует,Негативное,Низкая,Нейтральная,5.4,7,116.9,2,3,Легко обратимо,6,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,2.7,5.3,7.1,2.6,10.0,5.4,,,,,,,,,,,,,,,
295,Духовность и самопознание,Медитативные практики,Вариант_2,2025-05-18 06:42:47.830129,,,,,,,,,Высокая,Высокое,Высокая,Избыточная,Средний,Умеренные,Слабая,Позитивное,Высокая,Нейтральная,6.2,8,86.2,3,8,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,4.0,2.1,8.5,7.5,3.5,7.4,,,,,,,,,,,,,,,
296,Духовность и самопознание,Медитативные практики,Вариант_3,2025-04-21 06:42:47.830179,,,,,,,,,Низкая,Умеренное,Высокая,Недостаточная,Средний,Значительные,Сильная,Негативное,Низкая,Принятие,5.3,9,129.1,8,4,Частично обратимо,8,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,5.4,1.3,7.6,8.5,5.5,1.2,,,,,,,,,,,,,,,
297,Духовность и самопознание,Медитативные практики,Вариант_4,2024-12-19 06:42:47.830223,,,,,,,,,Низкая,Умеренное,Критическая,Достаточная,Средний,Умеренные,Слабая,Негативное,Низкая,Избегание,6.7,9,111.0,5,3,Частично обратимо,7,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,5.5,5.9,1.2,7.9,9.9,8.9,,,,,,,,,,,,,,,
298,Духовность и самопознание,Психологическое развитие,Вариант_1,2025-03-21 06:42:47.830268,,,,,,,,,Низкая,Высокое,Низкая,Достаточная,Средний,Умеренные,Сильная,Нейтральное,Высокая,Принятие,5.9,6,128.9,5,6,Легко обратимо,1,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.4,7.1,6.9,7.2,6.1,5.3,,,,,,,,,,,,,,,
299,Духовность и самопознание,Психологическое развитие,Вариант_2,2024-10-29 06:42:47.830312,,,,,,,,,Средняя,Умеренное,Критическая,Достаточная,Новичок,Значительные,Отсутствует,Негативное,Низкая,Принятие,4.7,5,99.7,2,5,Легко обратимо,6,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,1.4,7.7,1.2,9.0,4.1,1.9,,,,,,,,,,,,,,,
300,Духовность и самопознание,Психологическое развитие,Вариант_3,2025-06-02 06:42:47.830407,,,,,,,,,Высокая,Нет,Высокая,Достаточная,Эксперт,Умеренные,Слабая,Позитивное,Низкая,Нейтральная,5.6,2,116.2,4,6,Частично обратимо,6,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,1.2,8.8,6.1,9.1,3.4,7.3,,,,,,,,,,,,,,,
301,Духовность и самопознание,Йога и духовные практики,Вариант_1,2024-10-17 06:42:47.830465,,,,,,,,,Средняя,Нет,Высокая,Избыточная,Средний,Ограниченные,Сильная,Позитивное,Низкая,Принятие,5.8,10,16.4,6,5,Легко обратимо,8,,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.7,6.7,9.8,1.7,8.7,2.9,,,,,,,,,,,,,,,
302,Духовность и самопознание,Йога и духовные практики,Вариант_2,2025-01-21 06:42:47.830512,,,,,,,,,Средняя,Умеренное,Критическая,Избыточная,Эксперт,Ограниченные,Отсутствует,Позитивное,Высокая,Принятие,5.4,3,97.1,4,8,Частично обратимо,7,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,2.9,3.7,8.2,4.9,5.9,2.8,,,,,,,,,,,,,,,
303,Духовность и самопознание,Йога и духовные практики,Вариант_3,2024-11-11 06:42:47.830568,,,,,,,,,Средняя,Умеренное,Низкая,Избыточная,Новичок,Умеренные,Слабая,Нейтральное,Высокая,Избегание,5.6,5,115.5,4,7,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,7.5,5.2,3.2,7.7,7.9,8.6,,,,,,,,,,,,,,,
304,Духовность и самопознание,Чтение духовной литературы,Вариант_1,2025-05-21 06:42:47.830616,,,,,,,,,Средняя,Нет,Низкая,Достаточная,Средний,Значительные,Сильная,Негативное,Высокая,Избегание,5.7,8,131.5,1,2,Частично обратимо,5,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,1.2,5.4,9.9,4.8,9.2,2.8,,,,,,,,,,,,,,,
305,Духовность и самопознание,Чтение духовной литературы,Вариант_2,2025-07-26 06:42:47.830661,,,,,,,,,Низкая,Высокое,Низкая,Избыточная,Эксперт,Значительные,Сильная,Нейтральное,Средняя,Избегание,5.8,4,101.0,6,6,Необратимо,7,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,9.1,6.9,1.8,9.5,7.5,2.3,,,,,,,,,,,,,,,
306,Духовность и самопознание,Чтение духовной литературы,Вариант_3,2025-04-29 06:42:47.830705,,,,,,,,,Высокая,Умеренное,Низкая,Достаточная,Эксперт,Умеренные,Слабая,Позитивное,Низкая,Нейтральная,4.5,3,61.3,6,5,Легко обратимо,1,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.4,2.9,3.5,4.7,8.8,1.5,,,,,,,,,,,,,,,
307,Духовность и самопознание,Посещение мест силы,Вариант_1,2024-09-22 06:42:47.830752,,,,,,,,,Высокая,Нет,Средняя,Достаточная,Средний,Ограниченные,Слабая,Нейтральное,Средняя,Избегание,6.0,4,50.3,3,8,Необратимо,6,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,8.2,7.0,3.3,4.5,6.8,7.3,,,,,,,,,,,,,,,
308,Духовность и самопознание,Посещение мест силы,Вариант_2,2024-10-02 06:42:47.830798,,,,,,,,,Высокая,Умеренное,Низкая,Недостаточная,Эксперт,Умеренные,Сильная,Негативное,Средняя,Нейтральная,6.4,10,122.6,9,6,Частично обратимо,1,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,4.7,8.4,9.5,5.2,4.7,8.6,,,,,,,,,,,,,,,
309,Духовность и самопознание,Посещение мест силы,Вариант_3,2025-08-01 06:42:47.830853,,,,,,,,,Низкая,Нет,Средняя,Избыточная,Эксперт,Значительные,Отсутствует,Позитивное,Высокая,Нейтральная,4.4,6,76.1,3,5,Легко обратимо,6,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.8,6.8,1.0,2.8,3.7,6.2,,,,,,,,,,,,,,,
310,Духовность и самопознание,Посещение мест силы,Вариант_4,2025-04-05 06:42:47.830901,,,,,,,,,Высокая,Высокое,Средняя,Недостаточная,Средний,Ограниченные,Слабая,Позитивное,Низкая,Избегание,6.2,7,104.0,10,5,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.8,8.9,9.5,9.0,3.0,9.5,,,,,,,,,,,,,,,
311,Духовность и самопознание,Посещение мест силы,Вариант_5,2025-02-20 06:42:47.830955,,,,,,,,,Низкая,Высокое,Средняя,Недостаточная,Средний,Умеренные,Сильная,Нейтральное,Средняя,Избегание,5.8,7,143.9,10,4,Частично обратимо,4,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.5,5.7,8.0,9.4,8.4,5.4,,,,,,,,,,,,,,,
312,Духовность и самопознание,Участие в ретритах,Вариант_1,2025-05-27 06:42:47.831001,,,,,,,,,Средняя,Нет,Низкая,Достаточная,Новичок,Умеренные,Сильная,Нейтральное,Высокая,Избегание,5.2,7,119.2,10,5,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.7,3.4,6.6,9.2,4.3,7.2,,,,,,,,,,,,,,,
313,Духовность и самопознание,Участие в ретритах,Вариант_2,2024-11-15 06:42:47.831045,,,,,,,,,Высокая,Нет,Низкая,Достаточная,Эксперт,Значительные,Слабая,Нейтральное,Средняя,Принятие,6.7,6,22.6,9,1,Необратимо,3,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.5,9.2,10.0,9.5,9.7,6.4,,,,,,,,,,,,,,,
314,Духовность и самопознание,Участие в ретритах,Вариант_3,2025-04-16 06:42:47.831091,,,,,,,,,Средняя,Нет,Средняя,Достаточная,Средний,Значительные,Слабая,Нейтральное,Средняя,Нейтральная,4.3,10,139.5,5,9,Частично обратимо,7,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,2.5,5.2,1.8,7.4,4.9,3.3,,,,,,,,,,,,,,,
315,Духовность и самопознание,Участие в ретритах,Вариант_4,2025-06-04 06:42:47.831145,,,,,,,,,Низкая,Нет,Средняя,Недостаточная,Новичок,Умеренные,Слабая,Негативное,Высокая,Нейтральная,6.2,7,19.9,8,1,Частично обратимо,6,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.8,2.4,8.7,6.9,8.2,1.5,,,,,,,,,,,,,,,
316,Духовность и самопознание,Работа с психологом,Вариант_1,2024-11-13 06:42:47.831190,,,,,,,,,Низкая,Высокое,Высокая,Избыточная,Эксперт,Значительные,Отсутствует,Позитивное,Низкая,Принятие,5.4,10,30.7,2,4,Частично обратимо,2,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,5.4,8.8,2.1,1.8,8.8,2.6,,,,,,,,,,,,,,,
317,Духовность и самопознание,Работа с психологом,Вариант_2,2025-03-12 06:42:47.831374,,,,,,,,,Низкая,Умеренное,Критическая,Достаточная,Эксперт,Умеренные,Сильная,Позитивное,Низкая,Нейтральная,5.8,1,110.4,8,6,Необратимо,3,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,1.2,4.5,6.3,9.6,8.5,2.4,,,,,,,,,,,,,,,
318,Духовность и самопознание,Работа с психологом,Вариант_3,2025-05-11 06:42:47.831436,,,,,,,,,Средняя,Нет,Средняя,Достаточная,Новичок,Ограниченные,Отсутствует,Негативное,Средняя,Нейтральная,6.3,5,108.9,3,2,Частично обратимо,8,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,8.8,8.2,7.7,5.9,6.4,1.8,,,,,,,,,,,,,,,
319,Духовность и самопознание,Работа с психологом,Вариант_4,2025-01-18 06:42:47.831491,,,,,,,,,Средняя,Умеренное,Критическая,Достаточная,Эксперт,Значительные,Слабая,Негативное,Средняя,Нейтральная,5.7,10,31.7,7,2,Легко обратимо,6,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.6,6.4,4.2,1.9,4.3,2.8,,,,,,,,,,,,,,,
320,Духовность и самопознание,Работа с психологом,Вариант_5,2025-01-02 06:42:47.831538,,,,,,,,,Низкая,Умеренное,Высокая,Недостаточная,Новичок,Значительные,Слабая,Негативное,Высокая,Нейтральная,6.3,5,95.7,9,2,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.1,9.4,5.7,6.8,1.8,5.2,,,,,,,,,,,,,,,
321,Технологии и цифровая жизнь,Выбор операционной системы,Вариант_1,2025-01-22 06:42:47.831586,,,,,,,,,Высокая,Высокое,Критическая,Недостаточная,Новичок,Умеренные,Отсутствует,Негативное,Средняя,Принятие,5.6,5,53.1,8,8,Необратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,5.2,7.5,4.2,6.3,7.9,1.1,,,,,,,,
322,Технологии и цифровая жизнь,Выбор операционной системы,Вариант_2,2025-03-06 06:42:47.831639,,,,,,,,,Высокая,Нет,Низкая,Достаточная,Новичок,Ограниченные,Отсутствует,Позитивное,Средняя,Нейтральная,6.1,7,146.0,10,8,Частично обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,8.8,2.7,7.7,6.4,8.8,2.0,,,,,,,,
323,Технологии и цифровая жизнь,Выбор операционной системы,Вариант_3,2024-09-08 06:42:47.831684,,,,,,,,,Низкая,Нет,Средняя,Достаточная,Эксперт,Ограниченные,Сильная,Негативное,Средняя,Принятие,3.6,9,32.5,5,8,Легко обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,7.2,4.6,2.1,1.1,2.0,1.1,,,,,,,,
324,Технологии и цифровая жизнь,Выбор операционной системы,Вариант_4,2025-01-23 06:42:47.831730,,,,,,,,,Низкая,Умеренное,Критическая,Недостаточная,Средний,Ограниченные,Отсутствует,Позитивное,Высокая,Нейтральная,5.4,7,142.6,10,10,Необратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,2.5,2.4,9.7,5.2,8.7,6.3,,,,,,,,
325,Технологии и цифровая жизнь,Выбор операционной системы,Вариант_5,2025-08-09 06:42:47.831775,,,,,,,,,Высокая,Нет,Критическая,Избыточная,Средний,Значительные,Отсутствует,Нейтральное,Высокая,Нейтральная,6.5,8,20.1,10,6,Частично обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,5.4,6.3,7.1,8.4,5.4,7.4,,,,,,,,
326,Технологии и цифровая жизнь,Использование соцсетей,Вариант_1,2025-06-06 06:42:47.831829,,,,,,,,,Высокая,Высокое,Критическая,Недостаточная,Средний,Значительные,Сильная,Нейтральное,Средняя,Принятие,4.5,6,133.8,3,10,Легко обратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,2.7,4.1,3.0,9.2,4.1,6.4,,,,,,,,
327,Технологии и цифровая жизнь,Использование соцсетей,Вариант_2,2024-09-08 06:42:47.831875,,,,,,,,,Средняя,Нет,Средняя,Избыточная,Новичок,Ограниченные,Слабая,Нейтральное,Средняя,Принятие,5.3,3,29.8,9,1,Легко обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.0,2.2,6.5,1.9,4.7,9.9,,,,,,,,
328,Технологии и цифровая жизнь,Использование соцсетей,Вариант_3,2025-01-19 06:42:47.831928,,,,,,,,,Высокая,Умеренное,Средняя,Избыточная,Эксперт,Значительные,Сильная,Негативное,Высокая,Избегание,6.3,8,134.3,2,2,Необратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,6.1,9.9,8.1,7.9,7.9,,,,,,,,
329,Технологии и цифровая жизнь,Онлайн-обучение,Вариант_1,2025-08-06 06:42:47.831980,,,,,,,,,Средняя,Высокое,Низкая,Недостаточная,Эксперт,Умеренные,Слабая,Негативное,Низкая,Избегание,5.0,8,162.9,1,4,Частично обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,2.5,2.1,4.3,7.6,7.4,7.9,,,,,,,,
330,Технологии и цифровая жизнь,Онлайн-обучение,Вариант_2,2025-04-03 06:42:47.832033,,,,,,,,,Средняя,Нет,Средняя,Достаточная,Средний,Умеренные,Слабая,Позитивное,Высокая,Нейтральная,5.1,1,74.6,1,9,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.8,4.4,4.2,7.0,2.4,7.8,,,,,,,,
331,Технологии и цифровая жизнь,Онлайн-обучение,Вариант_3,2025-03-07 06:42:47.832078,,,,,,,,,Низкая,Высокое,Высокая,Достаточная,Средний,Значительные,Сильная,Позитивное,Средняя,Принятие,6.0,6,152.8,1,5,Необратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,9.8,2.5,7.8,6.9,6.8,9.1,,,,,,,,
332,Технологии и цифровая жизнь,Онлайн-обучение,Вариант_4,2024-09-03 06:42:47.832122,,,,,,,,,Высокая,Умеренное,Средняя,Достаточная,Новичок,Ограниченные,Сильная,Нейтральное,Средняя,Принятие,6.4,3,87.7,9,5,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,6.8,9.0,6.6,5.0,4.1,8.3,,,,,,,,
333,Технологии и цифровая жизнь,Онлайн-обучение,Вариант_5,2024-12-09 06:42:47.832272,,,,,,,,,Средняя,Высокое,Критическая,Избыточная,Новичок,Значительные,Отсутствует,Нейтральное,Средняя,Принятие,5.1,9,59.9,1,2,Частично обратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.7,7.8,1.3,8.2,6.3,3.2,,,,,,,,
334,Технологии и цифровая жизнь,Цифровая безопасность,Вариант_1,2025-08-25 06:42:47.832325,,,,,,,,,Высокая,Нет,Высокая,Достаточная,Средний,Значительные,Сильная,Позитивное,Высокая,Избегание,7.6,7,87.5,4,2,Частично обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,9.8,8.2,6.1,9.0,6.6,5.8,,,,,,,,
335,Технологии и цифровая жизнь,Цифровая безопасность,Вариант_2,2025-02-24 06:42:47.832416,,,,,,,,,Низкая,Умеренное,Критическая,Избыточная,Эксперт,Значительные,Слабая,Нейтральное,Высокая,Нейтральная,3.6,7,167.4,8,7,Легко обратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,2.3,4.8,1.8,4.8,2.2,2.9,,,,,,,,
336,Технологии и цифровая жизнь,Цифровая безопасность,Вариант_3,2024-12-12 06:42:47.832465,,,,,,,,,Высокая,Нет,Высокая,Недостаточная,Эксперт,Умеренные,Отсутствует,Негативное,Средняя,Принятие,4.8,5,7.2,3,2,Частично обратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,7.4,2.2,8.8,2.1,2.9,5.3,,,,,,,,
337,Технологии и цифровая жизнь,Цифровая безопасность,Вариант_4,2025-02-17 06:42:47.832511,,,,,,,,,Низкая,Нет,Критическая,Недостаточная,Новичок,Значительные,Слабая,Негативное,Низкая,Нейтральная,5.6,8,96.5,10,8,Частично обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5.4,8.1,6.3,1.4,9.0,9.0,,,,,,,,
338,Технологии и цифровая жизнь,Цифровая безопасность,Вариант_5,2024-12-27 06:42:47.832654,,,,,,,,,Высокая,Умеренное,Низкая,Избыточная,Эксперт,Значительные,Слабая,Нейтральное,Низкая,Нейтральная,5.7,6,91.1,8,5,Необратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.5,2.2,6.7,7.9,7.0,2.3,,,,,,,,
339,Технологии и цифровая жизнь,Покупка гаджетов,Вариант_1,2024-08-30 06:42:47.832701,,,,,,,,,Высокая,Высокое,Низкая,Избыточная,Эксперт,Ограниченные,Слабая,Позитивное,Низкая,Избегание,5.6,9,30.6,1,5,Легко обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,6.7,7.9,6.8,6.8,1.8,9.6,,,,,,,,
340,Технологии и цифровая жизнь,Покупка гаджетов,Вариант_2,2024-08-31 06:42:47.832746,,,,,,,,,Средняя,Умеренное,Средняя,Достаточная,Новичок,Значительные,Слабая,Нейтральное,Средняя,Избегание,5.9,2,164.6,9,3,Частично обратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,6.2,1.8,3.9,6.3,5.4,9.4,,,,,,,,
341,Технологии и цифровая жизнь,Покупка гаджетов,Вариант_3,2025-05-26 06:42:47.832789,,,,,,,,,Низкая,Умеренное,Критическая,Недостаточная,Средний,Ограниченные,Слабая,Нейтральное,Средняя,Нейтральная,3.5,2,9.2,4,10,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,1.8,3.8,2.5,6.5,3.9,1.2,,,,,,,,
342,Технологии и цифровая жизнь,Выбор интернет-провайдера,Вариант_1,2024-12-10 06:42:47.832838,,,,,,,,,Низкая,Нет,Высокая,Избыточная,Эксперт,Значительные,Отсутствует,Негативное,Высокая,Принятие,4.5,3,51.5,7,8,Легко обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4.5,2.0,5.2,4.7,5.4,4.7,,,,,,,,
343,Технологии и цифровая жизнь,Выбор интернет-провайдера,Вариант_2,2025-06-16 06:42:47.832883,,,,,,,,,Средняя,Высокое,Высокая,Избыточная,Новичок,Ограниченные,Отсутствует,Нейтральное,Средняя,Принятие,6.0,5,141.1,7,6,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,9.9,8.0,4.8,9.2,5.1,1.0,,,,,,,,
344,Технологии и цифровая жизнь,Выбор интернет-провайдера,Вариант_3,2024-11-01 06:42:47.832938,,,,,,,,,Высокая,Высокое,Высокая,Достаточная,Новичок,Значительные,Сильная,Нейтральное,Высокая,Нейтральная,5.0,5,164.6,8,5,Легко обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,3.5,2.5,1.6,1.8,7.3,8.5,,,,,,,,
